Feature,Case Id,Test Case,Pass,Fail,N/A,Measured,Comment,Measurement Name,Value,Unit,Target,Failure
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_VIDEO_CONFERENCING_const,Check various identifiers of BluetoothClassDeviceMinor_AV_VIDEO_CONFERENCING,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_AV_WEARABLE_HEADSET_const,Check various identifiers of BluetoothClassDeviceMinor_AV_WEARABLE_HEADSET,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_DESKTOP_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_DESKTOP,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_HANDHELD_PC_OR_PDA_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_HANDHELD_PC_OR_PDA,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_LAPTOP_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_LAPTOP,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_PALM_PC_OR_PDA_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_PALM_PC_OR_PDA,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_SERVER_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_SERVER,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_UNCATEGORIZED_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_UNCATEGORIZED,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_COMPUTER_WEARABLE_const,Check various identifiers of BluetoothClassDeviceMinor_COMPUTER_WEARABLE,1,,,,,,,,,
Tizen Device APIs/Communication/Bluetooth,BluetoothClassDeviceMinor_extend,Test whether the object BluetoothClassDeviceMinor can have new properties added,1,,,,,,,,,
